,Mean,SD
GATS5s,0.00019538524816116177,6.495463584354051e-05
GATS6s,0.0003620425554440421,0.00018901357886508206
GATS7s,0.0006334695801840651,0.00011131598066223965
GATS8s,0.0007107340982225541,0.0001910479451959347
GATS1Z,7.288758051694488e-05,6.35862273698192e-05
GATS2Z,0.0007069983083069387,0.00019067918535205702
GATS3Z,0.0003693014076843859,0.0001671455919591761
GATS4Z,0.0003644039225951023,0.00010490771616496807
GATS5Z,0.00024805941135200846,0.00024819508578890614
GATS6Z,1.4451902431855679e-05,4.1636575960358284e-05
GATS7Z,0.0005235954765974493,7.194213766653008e-05
GATS8Z,0.0009802738266577959,0.00026499065032214764
GATS1m,3.518710234929889e-05,1.4439561205156963e-05
GATS2m,0.0009420972808999006,0.0002951562482863052
GATS3m,0.00021908601856747146,9.770996889977761e-05
GATS4m,0.0005156037224704924,0.00019803275026120438
GATS5m,2.6908804684488975e-05,3.2564959863521174e-05
GATS6m,0.0011682308538322195,0.00011918649975611733
GATS7m,7.711186393239977e-05,2.885958303068059e-05
GATS8m,0.0006988441085511221,0.0001550493504513925
GATS1v,9.185715440153119e-05,5.464877459085422e-05
GATS2v,0.002959559217113883,0.0009537508645365
GATS3v,0.00011642064585642986,5.253666676084961e-05
GATS4v,0.0006029646553518675,0.0001874290708376999
GATS5v,0.002076666483286882,0.00043269820488386695
GATS6v,0.0024966391350572325,0.0004622037132396224
GATS7v,0.00018529772796251897,7.993717988633642e-05
GATS8v,0.00046082872775380366,0.00010101475496492637
GATS1se,0.0001429734871499444,3.5851073172482673e-05
GATS2se,0.0001513647195015122,5.405015860469408e-05
GATS3se,0.004272423085549526,0.000538332112695662
GATS4se,0.002367091417048861,0.00041700747657323004
GATS5se,0.0005904342843961908,0.00010036825742799084
GATS6se,0.0001783880566560092,6.150105995482297e-05
GATS7se,0.000485322933425858,0.00021783657376904357
GATS8se,0.0002872027804928123,0.00014176611389026935
GATS1pe,0.0007342130434969341,0.00011544691497338457
GATS2pe,0.00035827136673765024,0.00011569678456662331
GATS3pe,0.0016959165741759375,0.00030631128112350027
GATS4pe,0.0006989105312300903,0.00017549020843319387
GATS5pe,0.000154228173451032,4.773213723134741e-05
GATS6pe,0.00036816337088483306,0.00017990161338541649
GATS7pe,0.001501405292209368,0.00020681444756899965
GATS8pe,4.572731110318307e-05,6.227328875859376e-05
GATS1are,0.0010346108482209514,0.00016311458110428203
GATS2are,0.0005517386183260698,6.229236532996832e-05
GATS3are,0.0018244485700837144,0.0007586760982641813
GATS4are,0.0015573937840375972,0.0002729060909677332
GATS5are,6.467233586104904e-05,6.239160369325707e-05
GATS6are,0.0009718118092814976,0.000325522443492776
GATS7are,0.001178038835104711,0.00028243008329242387
GATS8are,6.746521748122181e-05,5.1397068526027066e-05
GATS1p,0.00017089289398513062,6.910277232046345e-05
GATS2p,0.00015709691786429668,0.00012802635123857997
GATS3p,0.00035220606942804045,0.00011810965921123412
GATS4p,0.0005541161986169718,0.0002409467059246537
GATS5p,0.0008131627390344009,0.0001919789295521714
GATS6p,0.0007063586294558943,0.0001509888583266175
GATS7p,0.0006571575705695443,4.702595134573574e-05
GATS8p,0.000701390796537138,0.00028232294948629146
GATS1i,4.2724541122796114e-05,8.603213872325317e-05
GATS2i,1.1282528510059286e-05,1.8952375713208938e-05
GATS3i,0.0009437410826120152,0.00017821108493396484
GATS4i,0.000765937391613869,0.0001930448976526691
GATS5i,0.0003504724267793913,0.00011977760408440158
GATS6i,0.0005788191676634024,0.00017252533658583047
GATS7i,0.0002783776554927564,2.3147675210814463e-05
GATS8i,0.0012305287892036775,0.00013417251883658223
BCUTc-1h,0.0010841985338958748,0.00017994548882063305
BCUTc-1l,0.003188011444805239,0.0008990138929593023
BCUTdv-1h,0.00029151728023046886,8.731165495490763e-05
BCUTdv-1l,0.0014577400133683471,0.00026313006812690606
BCUTd-1h,0.0005634830237815968,0.00014426536266649677
BCUTd-1l,0.0013027357038527421,0.000445650624484227
BCUTs-1h,4.5814589202786135e-05,4.993578837980562e-05
BCUTs-1l,0.00028640978360431333,4.9454236147592425e-05
BCUTZ-1h,2.587437598822184e-06,4.7477023915909336e-06
BCUTZ-1l,1.9731779170761855e-05,4.0830551012875125e-05
BCUTm-1h,1.1012244742469867e-05,2.113999610262314e-05
BCUTm-1l,0.0001549908309739778,4.971451024194404e-05
BCUTv-1h,8.7495866795817e-05,3.708652715888451e-05
BCUTv-1l,3.539243254920832e-05,4.806812843767779e-05
BCUTse-1h,8.370718624064465e-05,4.235686257826651e-05
BCUTse-1l,0.00012113007998917346,3.688527257847443e-05
BCUTpe-1h,0.00017325037519825282,8.648704785176358e-05
BCUTpe-1l,0.00010596900122887832,2.5754561508642603e-05
BCUTare-1h,4.526257022232638e-05,2.8952016297666033e-05
BCUTare-1l,0.0002235316849955482,9.293783806015858e-05
BCUTp-1h,0.0003280360336938903,7.377920111081143e-05
BCUTp-1l,0.0009418105066353322,0.00017669056514422552
BCUTi-1h,0.0006168276430712604,0.00014480640532470854
BCUTi-1l,0.0001066710404483584,7.108016982504993e-05
BalabanJ,0.0006395458652333486,0.0002381034333490544
BertzCT,7.852392214041659e-05,2.79297813828788e-05
nBonds,-1.39290460033914e-06,4.880434863937712e-06
nBondsO,-5.7013098961378186e-05,3.205692928196887e-05
nBondsS,4.72294251745109e-05,3.8680369341992526e-05
nBondsD,2.4942892631496516e-05,1.3156746752681727e-05
nBondsT,0.0,0.0
nBondsA,-2.216057354031964e-06,6.909827136837128e-06
nBondsM,0.0001919529138528886,6.369920088504462e-05
nBondsKS,2.9094357467263075e-05,3.096219345994454e-05
nBondsKD,1.3065383198984648e-05,8.811586342287094e-06
C1SP1,0.0,0.0
C2SP1,0.0,0.0
C1SP2,4.519848925129688e-05,2.083530550001548e-05
C2SP2,0.0010521056206493685,0.00025719862160186003
C3SP2,1.2659817011928531e-06,2.2531120085114516e-05
C1SP3,0.0007404748168390651,0.0002831783516391092
C2SP3,9.382457846113246e-05,9.154409350977648e-05
C3SP3,3.9334662952550393e-05,6.067733505928048e-06
C4SP3,-1.9326325246149524e-06,6.442108415383174e-07
HybRatio,-4.086461650942841e-06,2.7372726832675916e-05
FCSP3,3.5235476857586875e-05,6.559568865582614e-05
Xch-3d,2.5872629685896875e-06,5.513088376288569e-06
Xch-4d,0.0005622647507763423,0.00021928148797171682
Xch-5d,0.00011267944392883145,3.89718515788211e-05
Xch-6d,0.0010652764842367436,0.00029840285393809826
Xch-7d,8.299080894544897e-05,7.050710895620838e-05
Xch-3dv,1.0532006123520343e-05,7.4272599310761945e-06
Xch-4dv,3.8720922587165416e-07,2.4785646421537015e-06
Xch-5dv,0.00015934471051676224,6.787366708421363e-05
Xch-6dv,0.00024272011399572023,0.0001246091476880501
Xch-7dv,0.0001333590917592109,8.735522219450594e-05
Xc-3d,0.00041684882792109024,0.00014039581815504079
Xc-4d,1.2032520353422171e-06,1.16596891154537e-05
Xc-5d,-2.6251811743216447e-05,3.503895441531066e-05
Xc-6d,-3.352229061337475e-05,2.3281036654490376e-05
Xc-3dv,3.093993267444528e-06,8.878260035462201e-06
Xc-4dv,8.36988530533711e-05,4.71750710350846e-05
Xc-5dv,0.00021726851932397652,5.428878586622761e-05
Xc-6dv,1.0234176796519723e-05,1.4041872553258376e-05
Xpc-4d,7.628322779016373e-05,1.576500308672215e-05
Xpc-5d,0.00013444336896069055,6.483427720859496e-05
Xpc-6d,-2.206982736787655e-05,1.5253715070842497e-05
Xpc-4dv,5.211275534189319e-05,1.6928301388703573e-05
Xpc-5dv,8.980498819177729e-05,9.097212344597104e-05
Xpc-6dv,-1.713966397706157e-05,3.776526894226899e-05
Xp-0d,0.00011517021871744193,0.00010115320999152085
Xp-1d,7.000098511956709e-05,2.282128922701111e-05
Xp-2d,1.4114703694378949e-05,1.2460510242968175e-05
Xp-3d,2.1437912156219153e-05,1.6797390322955142e-05
Xp-4d,2.9020480573083152e-05,1.265888604727527e-05
Xp-5d,0.0010469833702652642,0.00013024733446633
Xp-6d,0.000103203543100161,5.314892417524492e-05
Xp-7d,3.757959051624571e-05,3.361553004890374e-05
AXp-0d,2.995523450288751e-07,2.78028361969545e-05
AXp-1d,0.0003814809230509808,9.800717433721776e-05
AXp-2d,0.0021611775680532965,0.00047487066581987966
AXp-3d,0.0009515126851118883,0.00010833211260046542
AXp-4d,0.0015692431242313788,0.00037051184793653074
AXp-5d,0.000551592888584962,0.00015786950984970221
